,Rowid_,VALUE,COUNT,ISO_AG11_15,GT_DEM,PMEAN_ALL,TMAX8,TMEAN_ALL,DTMEAN8_12,P_N,INT_CNL_EUC,R2
5854,,5855,1,106,798,44,259,58,238,0,1594000000,1
6024,,6025,1,38,35,69,224,99,121,0,2000000,1
6027,,6028,1,38,24,81,232,102,123,0,0,1
6052,,6053,1,95,369,25,294,96,225,0,4999999,1
6053,,6054,1,97,465,25,277,81,224,0,4000000,1
6376,,6377,1,38,35,84,232,101,124,0,19999998,1
6501,,6502,1,97,946,26,254,57,226,0,25000000,1
6594,,6595,1,106,1318,57,223,31,218,0,1351999872,1
6703,,6704,1,105,639,32,281,75,226,0,484000000,1
6749,,6750,1,97,842,26,265,68,228,0,4000000,1
6845,,6846,1,97,732,46,269,66,223,0,169000000,1
6858,,6859,1,88,633,53,266,71,212,0,125000000,1
6876,,6877,1,38,3,75,231,102,122,0,0,1
6897,,6898,1,97,639,25,277,78,227,0,1000000,1
7143,,7144,1,104,771,50,263,59,233,0,761000000,1
7196,,7197,1,97,635,39,290,77,229,0,0,1
7294,,7295,1,88,878,65,248,58,207,0,16999998,1
7308,,7309,1,23,23,44,214,96,116,0,0,1
7325,,7326,1,97,911,53,248,46,230,0,89000008,1
7487,,7488,1,97,549,25,282,83,230,0,10000000,1
7611,,7612,1,88,930,63,254,63,211,0,181000000,1
7772,,7773,1,38,239,81,213,87,126,0,8000000,1
7902,,7903,1,97,581,35,275,67,226,0,337999968,1
8081,,8082,1,97,900,44,258,58,221,0,125000000,1
8138,,8139,1,23,87,48,220,97,122,0,26000000,1
8393,,8394,1,97,859,35,264,59,223,0,327999968,1
8466,,8467,1,38,16,83,229,102,124,0,36000000,1
8533,,8534,2,97,532,49,273,74,212,0,1000000,1
8543,,8544,1,106,1234,59,238,38,221,0,969999936,1
8563,,8564,1,38,62,80,225,100,122,0,29000002,1
8629,,8630,1,88,737,53,263,65,213,0,37000004,1
8780,,8781,1,95,305,25,302,97,234,0,1000000,1
8818,,8819,1,97,534,50,273,73,212,0,2000000,1
8913,,8914,1,88,998,64,235,48,208,0,268999968,1
8924,,8925,1,88,899,53,263,64,214,0,50000000,1
9052,,9053,1,97,692,26,286,83,232,0,4999999,1
9307,,9308,1,104,606,47,284,75,226,0,981000000,1
9359,,9360,1,38,309,122,224,92,132,0,81000000,1
9424,,9425,1,88,773,56,269,69,218,0,233000016,1
9489,,9490,1,97,969,29,259,59,229,0,52000000,1
9562,,9563,1,23,89,64,219,99,120,0,260999984,1
9604,,9605,1,97,941,33,262,57,224,0,100000000,1
10015,,10016,1,97,1063,29,255,54,227,0,163999984,1
10186,,10187,1,104,677,50,280,74,225,0,529999968,1
10467,,10468,1,104,394,69,288,89,217,0,962000000,1
10545,,10546,1,97,830,48,269,60,226,0,49000000,1
10550,,10551,1,97,889,49,268,60,225,0,0,1
10722,,10723,1,93,1304,35,257,53,223,0,19999998,1
10781,,10782,1,23,58,70,229,99,128,0,776000064,1
10896,,10897,1,97,751,32,284,68,244,0,0,1
11133,,11134,1,105,393,37,299,83,236,0,464000032,1
11505,,11506,1,88,650,53,279,73,220,0,185000000,1
11506,,11507,1,88,723,54,278,72,221,0,157000000,1
11571,,11572,1,95,347,25,301,93,240,0,1000000,1
11686,,11687,1,97,706,41,282,72,234,0,196000000,1
11719,,11720,1,44,325,121,230,90,137,0,977000064,1
11781,,11782,1,104,756,39,275,66,231,0,529999968,1
11884,,11885,1,104,1001,39,263,57,226,0,512000032,1
11933,,11934,1,93,984,50,260,51,222,0,45000004,1
12269,,12270,1,97,677,30,287,73,244,0,2000000,1
12461,,12462,1,104,736,53,280,73,220,0,424999968,1
12482,,12483,1,97,792,40,278,64,229,0,25000000,1
12582,,12583,1,104,850,58,262,61,216,0,436000000,1
12584,,12585,1,104,746,61,266,66,207,0,940999936,1
12660,,12661,1,97,887,28,269,64,233,0,96999992,1
12661,,12662,1,105,528,25,297,88,239,0,144000000,1
12692,,12693,1,97,615,40,281,71,234,0,40999996,1
12694,,12695,1,97,604,41,286,74,238,0,40999996,1
12745,,12746,1,44,110,84,229,102,128,0,1153000064,1
12789,,12790,1,97,807,27,278,71,234,0,185000000,1
12841,,12842,1,104,984,64,255,56,210,0,653000000,1
12925,,12926,1,104,982,29,265,59,228,0,680000064,1
12933,,12934,1,104,848,31,269,61,226,0,1250000000,1
12964,,12965,1,104,704,55,275,69,219,0,578000000,1
13046,,13047,1,97,542,25,292,84,242,0,125000000,1
13064,,13065,1,187,899,30,271,63,226,0,1404999936,1
13159,,13160,1,97,844,29,269,63,237,0,36000000,1
13245,,13246,1,106,986,56,272,59,223,0,1520999936,1
13280,,13281,1,97,691,32,282,70,242,0,73000000,1
13313,,13314,1,106,1012,32,259,54,224,0,1268000000,1
13347,,13348,1,104,1025,63,252,54,210,0,677000064,1
13419,,13420,1,97,803,27,279,72,236,0,229000000,1
13492,,13493,1,88,692,58,274,69,212,0,25000000,1
13498,,13499,1,88,876,62,272,64,216,0,149000000,1
13503,,13504,1,106,991,59,270,58,220,0,1570000128,1
13541,,13542,1,97,921,36,263,56,236,0,116000008,1
13552,,13553,1,97,895,30,268,62,237,0,100000000,1
13623,,13624,1,104,878,59,262,60,216,0,793000000,1
13892,,13893,1,97,565,35,294,79,235,0,264999984,1
13909,,13910,1,97,896,46,275,68,230,0,241000000,1
13986,,13987,1,57,222,141,235,95,136,0,218000000,1
14027,,14028,1,187,904,30,274,64,227,0,1849999872,1
14054,,14055,1,97,718,43,283,72,234,0,89000008,1
14201,,14202,1,97,604,41,287,75,234,0,60999996,1
14210,,14211,1,104,779,56,267,63,219,0,1144999936,1
14392,,14393,1,49,122,109,232,100,132,0,125000000,1
14410,,14411,1,97,789,30,270,63,238,0,212000000,1
14423,,14424,1,95,248,23,307,99,243,0,29000002,1
14479,,14480,1,97,501,39,294,79,235,0,64000000,1
14555,,14556,1,105,330,27,298,89,243,0,292999968,1
14579,,14580,1,105,836,26,278,71,235,0,529999968,1
14791,,14792,1,104,821,56,273,67,219,0,1360000128,1
14906,,14907,1,97,853,40,275,66,232,0,220999984,1
14963,,14964,1,97,906,39,274,58,224,0,0,1
14968,,14969,1,106,1242,52,245,36,215,0,1493000064,1
15082,,15083,1,104,781,63,268,64,209,0,1156000000,1
15176,,15177,1,187,953,30,277,67,227,0,1625000064,1
15492,,15493,1,104,889,47,274,67,226,0,514000000,1
15577,,15578,1,187,703,26,292,79,235,0,1488999936,1
15920,,15921,1,88,706,61,272,70,208,0,67999992,1
16076,,16077,1,44,106,118,235,100,132,0,493000000,1
16138,,16139,1,104,647,30,288,75,229,0,785000000,1
16197,,16198,1,88,943,68,262,56,209,0,200000000,1
16221,,16222,1,44,134,120,237,100,132,0,533000000,1
16222,,16223,1,44,30,113,243,104,132,0,529000000,1
16382,,16383,1,49,93,98,241,106,134,0,313000032,1
16424,,16425,1,97,529,24,288,79,242,0,163999984,1
16590,,16591,1,187,609,25,301,88,236,0,2000000000,1
16624,,16625,1,97,810,39,281,71,232,0,50000000,1
16638,,16639,1,104,911,49,264,61,222,0,785000000,1
16872,,16873,1,97,847,30,269,62,238,0,57999996,1
16962,,16963,1,104,757,64,270,64,210,0,1097999872,1
17236,,17237,1,105,530,41,295,80,228,0,324999968,1
17338,,17339,1,97,871,40,262,58,231,0,81000000,1
17381,,17382,1,104,857,32,273,64,223,0,565000000,1
17731,,17732,1,105,518,42,295,79,224,0,484999968,1
17859,,17860,1,187,906,31,270,62,223,0,1440000000,1
18012,,18013,1,105,668,24,287,83,241,0,481000032,1
18258,,18259,1,106,1181,53,250,52,214,0,1311999872,1
18342,,18343,1,88,595,65,270,70,210,0,1000000,1
18409,,18410,1,104,874,32,274,66,223,0,709000064,1
18505,,18506,1,49,72,86,245,107,137,0,1000000,1
18735,,18736,1,187,610,28,294,81,227,0,1445000064,1
19000,,19001,1,97,708,41,271,67,227,0,178000000,1
19051,,19052,1,105,734,32,282,71,225,0,445000000,1
19083,,19084,1,104,755,51,281,72,219,0,929000064,1
19109,,19110,1,88,849,69,261,62,201,0,112999992,1
19208,,19209,1,104,663,31,290,77,227,0,450000000,1
19277,,19278,1,88,836,69,261,61,203,0,145000000,1
19371,,19372,1,187,640,28,289,78,226,0,1962000000,1
19517,,19518,1,97,321,22,300,99,242,0,57999996,1
19536,,19537,1,187,657,23,292,84,240,0,1060999936,1
19656,,19657,1,88,766,55,279,75,216,0,37000004,1
19660,,19661,1,97,950,45,264,64,225,0,129999992,1
19719,,19720,1,187,837,30,281,71,223,0,1191999872,1
19776,,19777,1,88,759,58,280,70,214,0,364999968,1
19910,,19911,1,105,574,30,296,83,228,0,448999968,1
19967,,19968,1,88,669,65,269,70,202,0,173000000,1
20033,,20034,1,95,361,21,301,101,241,0,125000000,1
20185,,20186,1,97,582,32,283,79,234,0,36000000,1
20282,,20283,1,88,812,56,283,74,215,0,281000000,1
20327,,20328,1,106,1175,56,240,33,211,0,1640000000,1
20344,,20345,1,49,141,103,240,101,136,0,37000004,1
20368,,20369,1,97,861,26,273,68,239,0,160000000,1
20403,,20404,1,187,476,22,307,97,238,0,1699999872,1
20497,,20498,1,88,653,65,269,70,202,0,257000000,1
20578,,20579,1,97,816,25,274,69,239,0,194000016,1
20676,,20677,1,88,628,65,270,72,201,0,314000000,1
20799,,20800,1,97,762,40,282,74,226,0,276999968,1
20826,,20827,1,88,901,59,274,67,212,0,170000016,1
20856,,20857,1,97,862,51,276,59,217,0,79999992,1
20883,,20884,1,88,718,53,280,75,219,0,8000000,1
20931,,20932,1,105,670,22,294,86,240,0,754000000,1
20996,,20997,1,88,727,61,277,70,209,0,225000000,1
21041,,21042,1,44,6,103,248,105,132,0,400000000,1
21209,,21210,1,44,33,124,252,106,137,0,281000000,1
21406,,21407,1,97,823,24,276,71,241,0,220999984,1
21430,,21431,1,105,670,22,293,86,240,0,500000000,1
21466,,21467,1,105,754,39,283,75,226,0,337000032,1
21623,,21624,1,104,757,43,281,75,222,0,986000000,1
21641,,21642,1,88,714,56,282,72,215,0,89000008,1
21650,,21651,1,88,685,61,277,71,207,0,208000000,1
21671,,21672,1,97,742,49,287,67,217,0,4000000,1
21689,,21690,1,44,71,126,253,106,138,0,250000016,1
21764,,21765,1,105,654,23,292,83,237,0,765000000,1
21818,,21819,1,88,682,60,279,72,208,0,129999992,1
21867,,21868,1,57,96,131,250,103,138,0,225000000,1
21970,,21971,1,104,726,38,287,79,227,0,490000000,1
21995,,21996,1,88,658,56,284,74,214,0,52000000,1
22077,,22078,1,97,911,46,257,59,221,0,72000000,1
22247,,22248,1,97,795,25,274,70,238,0,0,1
22322,,22323,1,104,692,40,290,81,224,0,853000000,1
22344,,22345,1,88,706,56,282,73,214,0,40999996,1
22517,,22518,1,104,751,39,282,76,225,0,605000000,1
22674,,22675,1,187,792,25,286,78,229,0,1538000000,1
22678,,22679,1,187,804,26,283,75,226,0,1932999936,1
23014,,23015,1,97,777,23,277,74,239,0,264999984,1
23042,,23043,1,105,736,24,289,81,233,0,850000000,1
23053,,23054,1,187,673,31,283,73,221,0,1301000064,1
23152,,23153,1,49,91,88,242,103,130,0,208000000,1
23222,,23223,1,105,707,23,293,84,235,0,676000000,1
23292,,23293,1,88,1041,69,252,55,199,0,146000000,1
23533,,23534,1,97,582,19,294,90,244,0,163999984,1
23748,,23749,1,187,752,32,282,73,221,0,1066000064,1
23772,,23773,1,187,677,41,285,80,222,0,1234000000,1
23778,,23779,1,104,689,46,285,78,220,0,857000000,1
23979,,23980,1,88,717,62,264,69,197,0,129999992,1
24053,,24054,1,97,704,21,282,79,241,0,289000000,1
24075,,24076,1,105,677,20,303,95,239,0,250000016,1
24208,,24209,1,88,978,59,246,56,210,0,40000000,1
24457,,24458,1,187,690,30,288,78,221,0,1412999936,1
24552,,24553,1,49,154,126,248,100,138,0,104000000,1
24564,,24565,1,49,112,93,242,100,132,0,25000000,1
24619,,24620,1,97,678,18,295,92,242,0,148000016,1
24868,,24869,1,187,569,35,292,85,224,0,1042000064,1
24987,,24988,1,97,682,42,269,70,220,0,74000000,1
25027,,25028,1,97,741,21,286,81,237,0,0,1
25115,,25116,1,88,781,62,268,68,200,0,10000000,1
25182,,25183,1,57,239,110,240,97,135,0,0,1
25209,,25210,1,97,912,26,268,67,236,0,129999992,1
25283,,25284,1,105,624,42,289,83,220,0,765000000,1
25393,,25394,1,97,570,36,280,77,226,0,74000000,1
25493,,25494,1,105,660,45,290,83,218,0,433000000,1
25498,,25499,1,88,797,51,278,74,213,0,271999968,1
25614,,25615,1,97,644,19,288,86,241,0,205000000,1
25645,,25646,1,187,638,23,296,87,227,0,1530000000,1
25725,,25726,1,104,857,64,280,69,209,0,757000000,1
25800,,25801,1,97,670,20,284,82,239,0,85000008,1
25864,,25865,1,105,617,42,287,83,219,0,601000000,1
25902,,25903,1,88,850,69,262,53,205,0,423999968,1
25974,,25975,1,95,505,26,289,86,233,0,4000000,1
26097,,26098,1,93,1114,50,257,45,215,0,49000000,1
26179,,26180,1,95,595,18,290,89,243,0,50000000,1
26181,,26182,1,95,490,18,294,93,243,0,100000000,1
26355,,26356,1,97,747,25,273,73,234,0,50000000,1
26363,,26364,1,95,654,20,282,80,239,0,13000000,1
26378,,26379,1,97,609,19,290,88,241,0,163999984,1
26407,,26408,1,187,595,23,295,87,225,0,1730000128,1
26408,,26409,1,187,628,23,294,86,223,0,1898000128,1
26511,,26512,1,49,46,110,253,104,136,0,225000000,1
26658,,26659,1,88,750,66,263,67,197,0,410000000,1
26708,,26709,1,49,116,100,246,100,135,0,157000000,1
26764,,26765,1,97,819,24,271,70,235,0,79999992,1
26946,,26947,1,49,31,110,253,104,138,0,296000000,1
26986,,26987,1,88,822,78,243,63,192,0,81999992,1
27149,,27150,1,93,1145,50,259,47,214,0,4000000,1
27200,,27201,1,49,122,91,244,101,132,0,290000000,1
27329,,27330,1,88,740,59,271,73,199,0,104000000,1
27449,,27450,1,95,376,16,303,103,242,0,4000000,1
27500,,27501,1,105,731,34,282,78,220,0,807999936,1
27568,,27569,1,104,704,71,265,58,204,0,529999968,1
27606,,27607,1,106,1303,59,242,41,211,0,1801000064,1
27645,,27646,1,44,196,96,242,98,135,0,698000000,1
27657,,27658,1,97,885,39,255,60,219,0,60999996,1
27733,,27734,1,105,639,41,287,84,219,0,241000000,1
27750,,27751,1,88,738,59,273,74,201,0,169000000,1
27768,,27769,1,93,1223,51,261,48,215,0,65000000,1
28087,,28088,1,95,538,18,296,94,240,0,13000000,1
28156,,28157,1,88,869,54,273,72,208,0,19999998,1
28189,,28190,1,93,1107,51,262,50,215,0,40999996,1
28251,,28252,1,88,712,65,250,67,194,0,10000000,1
28596,,28597,1,93,1375,54,254,44,212,0,85000008,1
29010,,29011,1,88,1178,70,250,54,197,0,264999984,1
29087,,29088,1,97,733,46,260,68,206,0,4000000,1
29407,,29408,1,88,799,65,284,71,208,0,181000000,1
29480,,29481,1,44,184,100,244,99,135,0,936999936,1
29632,,29633,1,97,973,40,267,59,218,0,25000000,1
29748,,29749,1,104,756,32,280,76,217,0,833000064,1
29954,,29955,1,105,768,34,276,76,216,0,477000032,1
30133,,30134,1,187,561,23,292,85,218,0,2018000128,1
30155,,30156,1,97,730,35,274,82,214,0,26000000,1
30174,,30175,1,70,682,51,285,82,207,0,2000000,1
30245,,30246,1,44,166,99,246,100,135,0,733000000,1
30266,,30267,1,97,860,27,266,69,228,0,185000000,1
30318,,30319,1,187,731,29,283,76,217,0,1780000000,1
30406,,30407,1,44,166,116,248,101,136,0,290000000,1
30517,,30518,1,104,765,32,279,75,217,0,909000000,1
30528,,30529,1,97,731,34,276,81,214,0,129999992,1
30722,,30723,1,97,733,35,273,81,213,0,29000002,1
30737,,30738,1,70,666,51,286,83,207,0,4000000,1
30863,,30864,1,105,433,18,301,99,230,0,212000000,1
30874,,30875,1,187,531,22,294,87,217,0,1845000192,1
30882,,30883,1,187,753,31,280,75,216,0,1090000000,1
30930,,30931,1,104,980,77,258,59,197,0,601000000,1
30935,,30936,1,88,1048,77,255,51,200,0,260000000,1
31263,,31264,1,97,726,35,276,82,216,0,4999999,1
31387,,31388,1,95,358,16,304,104,236,0,26000000,1
31493,,31494,1,57,235,111,247,99,137,0,19999998,1
31574,,31575,1,187,721,31,281,77,216,0,969999936,1
31651,,31652,1,44,109,121,246,100,134,0,661000000,1
31820,,31821,1,97,594,35,268,74,207,0,0,1
31853,,31854,1,95,412,16,301,101,239,0,1000000,1
31932,,31933,1,70,794,49,284,82,207,0,32000002,1
31938,,31939,1,88,895,61,271,72,199,0,19999998,1
31988,,31989,1,88,880,56,239,58,198,0,4000000,1
32095,,32096,1,97,707,38,279,83,217,0,25000000,1
32113,,32114,1,88,779,56,280,80,201,0,25000000,1
32143,,32144,1,104,1081,50,260,61,210,0,505000000,1
32176,,32177,1,97,929,36,252,59,215,0,19999998,1
32306,,32307,1,88,943,63,275,61,208,0,57999996,1
32467,,32468,1,97,705,38,279,82,214,0,60999996,1
32610,,32611,1,105,492,19,297,93,221,0,548000000,1
32640,,32641,1,105,732,33,277,80,213,0,404999968,1
32662,,32663,1,88,950,46,267,71,209,0,65000000,1
32702,,32703,1,88,1069,69,251,43,202,0,105999992,1
32709,,32710,1,93,1153,46,259,51,213,0,29000002,1
32786,,32787,1,95,421,16,300,102,230,0,0,1
32793,,32794,1,95,437,17,299,98,227,0,129999992,1
32805,,32806,1,105,497,20,296,92,220,0,725000000,1
32809,,32810,1,105,477,20,298,93,218,0,873000064,1
33048,,33049,1,88,832,45,275,76,210,0,85000008,1
33079,,33080,1,88,1076,77,255,57,197,0,369000000,1
33098,,33099,1,93,1104,46,261,52,214,0,0,1
33261,,33262,1,88,781,63,273,74,199,0,220999984,1
33289,,33290,1,88,993,53,261,61,210,0,194000016,1
33411,,33412,1,105,713,33,277,82,212,0,290000000,1
33670,,33671,1,88,967,52,262,62,210,0,146000000,1
33672,,33673,1,104,1086,55,260,57,214,0,520999968,1
33704,,33705,1,95,485,23,283,83,215,0,1000000,1
33812,,33813,1,97,707,38,279,82,213,0,53000000,1
34168,,34169,1,95,368,15,300,104,229,0,4000000,1
34194,,34195,1,187,574,23,292,86,214,0,929000064,1
34215,,34216,1,187,701,30,283,80,214,0,1144999936,1
34242,,34243,1,105,625,38,287,88,212,0,125000000,1
34399,,34400,1,95,364,15,300,104,229,0,1000000,1
34563,,34564,1,44,283,130,244,95,137,0,520999968,1
34627,,34628,1,105,555,22,293,88,213,0,765000000,1
34785,,34786,1,97,918,43,247,60,204,0,2000000,1
34881,,34882,1,105,682,32,281,82,212,0,744999936,1
34884,,34885,1,105,680,32,281,82,213,0,592000064,1
34950,,34951,1,88,946,75,270,68,200,0,73000000,1
34973,,34974,1,104,1029,43,261,59,212,0,592000064,1
35028,,35029,1,97,880,26,263,68,220,0,116000008,1
35058,,35059,1,95,365,15,299,103,229,0,1000000,1
35130,,35131,1,105,731,34,277,81,211,0,234000000,1
35217,,35218,1,97,914,37,277,68,218,0,25000000,1
35308,,35309,1,95,365,15,299,104,228,0,0,1
35490,,35491,1,88,781,60,243,64,189,0,372999968,1
35715,,35716,1,44,122,111,254,103,138,0,850000000,1
35782,,35783,1,95,368,15,301,105,230,0,0,1
35818,,35819,1,187,528,24,296,88,215,0,2104999808,1
35891,,35892,1,88,922,66,270,70,199,0,49000000,1
35946,,35947,1,44,122,114,252,102,137,0,965000000,1
36006,,36007,1,95,365,15,304,105,234,0,1000000,1
36071,,36072,1,105,695,33,280,83,210,0,257000000,1
36087,,36088,1,88,769,43,277,79,207,0,234000000,1
36133,,36134,1,88,1118,80,266,64,199,0,13000000,1
36180,,36181,1,44,156,119,249,102,136,0,1000000064,1
36486,,36487,1,95,325,15,303,105,231,0,4999999,1
36722,,36723,1,95,451,18,299,97,222,0,81999992,1
36757,,36758,1,187,636,27,291,84,215,0,1012999936,1
37015,,37016,1,97,707,35,280,83,209,0,50000000,1
37040,,37041,1,88,762,52,278,78,202,0,340000032,1
37121,,37122,1,44,182,121,253,101,140,0,965000000,1
37140,,37141,1,95,433,20,283,83,217,0,8000000,1
37230,,37231,1,105,619,31,286,84,211,0,377000032,1
37247,,37248,1,97,773,40,276,80,208,0,85000008,1
37282,,37283,1,88,670,65,288,82,203,0,79999992,1
37323,,37324,1,44,191,132,244,97,136,0,757000000,1
37382,,37383,1,95,350,15,305,103,236,0,16000000,1
37427,,37428,1,187,595,25,293,86,213,0,1557000064,1
37484,,37485,1,88,790,50,278,78,203,0,400000000,1
37535,,37536,1,93,1212,49,264,52,212,0,101000008,1
37633,,37634,1,95,389,17,299,99,222,0,8000000,1
37752,,37753,1,88,1156,83,251,48,194,0,250000016,1
37885,,37886,1,105,574,22,294,89,215,0,416000000,1
38060,,38061,2,95,398,15,302,101,234,0,0,1
38061,,38062,1,95,424,15,300,99,234,0,0,1
38076,,38077,1,95,372,15,303,104,232,0,37000004,1
38254,,38255,1,97,611,20,276,78,219,0,0,1
38637,,38638,1,93,1281,51,254,44,210,0,40000000,1
38880,,38881,1,44,210,131,253,100,140,0,1525000064,1
38986,,38987,1,105,682,32,283,83,208,0,121000000,1
38988,,38989,1,97,702,33,280,81,208,0,125000000,1
39198,,39199,1,105,608,28,291,86,212,0,769000000,1
39323,,39324,1,57,342,125,261,99,154,0,205000000,1
39337,,39338,1,97,683,24,271,75,211,0,16999998,1
39484,,39485,1,104,954,61,288,70,211,0,1320999936,1
39529,,39530,1,44,210,139,242,96,136,0,292000000,1
39545,,39546,1,57,295,124,262,97,158,0,79999992,1
39551,,39552,1,97,692,45,250,65,195,0,1000000,1
39584,,39585,1,95,364,15,305,103,235,0,4999999,1
39599,,39600,2,95,333,15,301,104,226,0,0,1
39615,,39616,1,95,430,18,300,97,221,0,9000000,1
39907,,39908,1,105,698,38,281,83,206,0,332999968,1
39964,,39965,1,97,897,36,283,73,220,0,0,1
39979,,39980,1,97,917,37,272,73,216,0,9000000,1
40060,,40061,1,95,413,16,296,99,227,0,0,1
40144,,40145,1,104,792,44,275,77,203,0,586000000,1
40146,,40147,1,104,792,44,276,78,203,0,650000000,1
40156,,40157,1,104,876,52,274,75,200,0,577000000,1
40158,,40159,1,88,867,57,270,70,199,0,290000000,1
40239,,40240,1,95,447,20,286,86,213,0,1000000,1
40411,,40412,1,57,122,145,236,97,134,0,57999996,1
40726,,40727,1,105,577,22,299,91,216,0,740000000,1
40902,,40903,1,95,262,15,311,107,234,0,1000000,1
40975,,40976,1,105,730,38,280,82,205,0,364999968,1
41072,,41073,1,44,185,129,255,102,141,0,757000000,1
41272,,41273,1,97,853,33,280,76,219,0,4999999,1
41431,,41432,1,105,739,40,279,81,204,0,337999968,1
41454,,41455,1,88,869,59,270,69,197,0,178000000,1
41465,,41466,1,88,774,59,293,85,207,0,0,1
41609,,41610,1,95,368,16,298,101,223,0,1000000,1
41614,,41615,1,95,396,17,303,100,222,0,9000000,1
41723,,41724,1,104,963,42,288,69,218,0,580000000,1
41772,,41773,1,88,862,47,248,64,194,0,57999996,1
41865,,41866,1,105,533,22,301,93,217,0,898000000,1
41891,,41892,1,95,582,31,292,89,208,0,4000000,1
41898,,41899,1,70,636,33,287,86,205,0,19999998,1
41933,,41934,1,88,857,65,273,70,199,0,8000000,1
41954,,41955,1,97,1216,44,262,53,212,0,8000000,1
41979,,41980,1,93,1096,43,265,66,212,0,1000000,1
42260,,42261,1,97,619,19,279,81,216,0,4999999,1
42510,,42511,1,95,323,14,309,109,233,0,4999999,1
42544,,42545,1,95,441,18,300,97,221,0,52000000,1
42784,,42785,1,105,445,19,306,98,220,0,484999968,1
42812,,42813,1,105,500,28,298,92,211,0,340000032,1
42866,,42867,1,88,789,60,290,83,205,0,9000000,1
42875,,42876,1,88,995,73,271,67,201,0,8000000,1
42896,,42897,1,97,990,37,278,69,217,0,16999998,1
43010,,43011,1,95,244,15,308,109,227,0,25000000,1
43073,,43074,1,70,602,33,289,87,204,0,52000000,1
43239,,43240,1,95,299,15,310,107,233,0,1000000,1
43253,,43254,1,95,326,15,309,108,230,0,1000000,1
43368,,43369,1,88,911,70,273,69,200,0,25000000,1
43784,,43785,1,105,499,29,298,93,210,0,233000016,1
43947,,43948,1,95,226,14,314,115,233,0,2000000,1
43959,,43960,1,95,316,16,306,105,229,0,40000000,1
44090,,44091,1,104,973,44,285,66,215,0,692000000,1
44187,,44188,1,95,220,15,317,113,234,0,0,1
44199,,44200,1,95,454,16,298,100,225,0,4000000,1
44233,,44234,1,105,547,22,301,94,217,0,962000000,1
44268,,44269,1,105,524,30,296,92,207,0,163999984,1
